Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64ff0ac5d9507b5a63428426,5f043bcfc6d8de66dd56c9a2,APPROVED,2023-09-11T12:40:37Z,2023-09-11T12:51:02.668000Z,2023-09-11T12:51:04.348000,2023-09-11T12:51:04.271627Z,626,C13E0WG5,279,24,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time
64ff0acdd97ef6a8ed7cf80a,5ce9761ed439ae001a596488,APPROVED,2023-09-11T12:40:49.016000Z,2023-09-11T12:50:30.228000Z,2023-09-11T12:50:30.888000,2023-09-11T12:50:30.772553Z,582,C13E0WG5,317,31,Male,Mixed,Nepal,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64ff0adca987549a0719d892,6127ae90d4e84d4658a04b7d,APPROVED,2023-09-11T12:41:56.811000Z,2023-09-11T13:03:36.788000Z,2023-09-11T13:03:37.500000,2023-09-11T13:03:37.405632Z,1300,C13E0WG5,209,21,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
64ff0ae0b49d1a36a11bb751,5d20e62eacb3e5001ae38d05,APPROVED,2023-09-11T12:41:04.125000Z,2023-09-11T13:06:55.649000Z,2023-09-11T13:06:56.202000,2023-09-11T13:06:56.135695Z,1552,C13E0WG5,246,22,Male,White,Poland,Poland,Poland,Polish,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64ff0ae5e97315ba4c9388e3,615ae3c2462dcbab1d3af8d3,APPROVED,2023-09-11T12:41:33.132000Z,2023-09-11T12:55:18.310000Z,2023-09-11T12:55:19.025000,2023-09-11T12:55:18.919268Z,826,C13E0WG5,177,32,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
64ff0aede97315ba4c9388e4,613ca0a2040055a4e87c5d71,APPROVED,2023-09-11T12:41:17.954000Z,2023-09-11T13:15:36.022000Z,2023-09-11T13:15:36.683000,2023-09-11T13:15:36.587097Z,2059,C13E0WG5,197,22,Female,Black,South Africa,South Africa,South Africa,English,No,Part-Time
64ff0af761c6e38af4e88d6d,610bcdce335f24707a103e91,APPROVED,2023-09-11T12:41:32.495000Z,2023-09-11T12:54:09.048000Z,2023-09-11T12:54:09.731000,2023-09-11T12:54:09.669789Z,757,C13E0WG5,863,55,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64ff0af858b170e378801211,5d6bd47c1d78d7001890555a,APPROVED,2023-09-11T12:41:35.896000Z,2023-09-11T12:56:35.142000Z,2023-09-11T12:56:37.531000Z,2023-09-11T12:56:37.734053Z,900,C13E0WG5,265,22,Female,White,Poland,Poland,Poland,Polish,Yes,Part-Time
64ff0af89b72a76c1d58336b,5c2b3e5c2c45d4000149eaa9,APPROVED,2023-09-11T12:41:37.318000Z,2023-09-11T13:05:29.498000Z,2023-09-11T13:05:30.433000,2023-09-11T13:05:30.349823Z,1433,C13E0WG5,253,40,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
64ff0b01319655592c15facc,60e5ae1dabf4db8c1de4c2c4,APPROVED,2023-09-11T12:41:37.854000Z,2023-09-11T13:46:00.367000Z,2023-09-11T13:46:01.059000,2023-09-11T13:46:00.924951Z,3863,C13E0WG5,42,29,Female,Black,Kenya,South Africa,South Africa,Swahili,Yes,Full-Time
64ff0b06507a128cff206fda,64e2201f13521d06715dbadf,APPROVED,2023-09-11T12:47:47.378000Z,2023-09-11T12:56:26.257000Z,2023-09-11T12:56:27.406000,2023-09-11T12:56:27.321592Z,519,C13E0WG5,4,19,Male,Other,South Africa,South Africa,South Africa,English,Yes,Other
64ff0b089213b5c9055bd8b7,610d01a193873b5b7f982a4f,APPROVED,2023-09-11T12:41:49.535000Z,2023-09-11T12:50:52.595000Z,2023-09-11T12:50:53.204000,2023-09-11T12:50:53.126084Z,544,C13E0WG5,342,34,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
64ff0b0a7f1451ac232d197d,5f914f1c52c29a01fedec698,APPROVED,2023-09-11T12:41:46.200000Z,2023-09-11T12:46:20.869000Z,2023-09-11T12:46:21.451000,2023-09-11T12:46:21.375068Z,275,C13E0WG5,96,21,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time
64ff0b1059d3a6d1b1859695,60ebf19742e81b0250c0f20a,APPROVED,2023-09-11T12:41:57.745000Z,2023-09-11T12:55:51.483000Z,2023-09-11T12:55:52.173000,2023-09-11T12:55:52.104921Z,834,C13E0WG5,239,43,Female,Mixed,South Africa,South Africa,South Africa,English,No,Full-Time
